GO-term,TAS_stat (-log10 pvalue),CAD_stat (-log10 pvalue),Diff (TAS-CAD),Link
GOBP_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND,2.338507879,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND
GOBP_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS,2.333354539,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS
GOBP_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS,2.333354539,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS
GOBP_NUCLEAR_EXPORT,2.329371572,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NUCLEAR_EXPORT
GOBP_PLASMINOGEN_ACTIVATION,2.32065928,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PLASMINOGEN_ACTIVATION
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_SENESCENCE,2.32065928,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_CELLULAR_SENESCENCE
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS,2.32065928,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS
GOBP_POSITIVE_REGULATION_OF_MEIOTIC_CELL_CYCLE,2.32065928,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_MEIOTIC_CELL_CYCLE
GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY,2.32065928,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY
GOBP_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE,2.32065928,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_BINDING,2.310324867,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_PROTEIN_BINDING
GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_ENDONUCLEOLYTIC,2.308137923,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_ENDONUCLEOLYTIC
GOBP_ENDOPLASMIC_RETICULUM_MANNOSE_TRIMMING,2.289950009,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ENDOPLASMIC_RETICULUM_MANNOSE_TRIMMING
GOBP_RESPONSE_TO_STIMULUS_INVOLVED_IN_REGULATION_OF_MUSCLE_ADAPTATION,2.289950009,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_STIMULUS_INVOLVED_IN_REGULATION_OF_MUSCLE_ADAPTATION
GOBP_REGULATION_OF_SKELETAL_MUSCLE_ADAPTATION,2.289950009,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_SKELETAL_MUSCLE_ADAPTATION
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,2.289950009,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION
GOBP_MITOTIC_CYTOKINETIC_PROCESS,2.283781284,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MITOTIC_CYTOKINETIC_PROCESS
GOBP_BLASTOCYST_GROWTH,2.283781284,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BLASTOCYST_GROWTH
GOBP_RESPONSE_TO_GLUCAGON,2.283781284,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_GLUCAGON
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,2.283545195,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS
GOBP_TRNA_METABOLIC_PROCESS,2.282463942,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TRNA_METABOLIC_PROCESS
GOBP_POSITIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY,2.280876907,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY
GOBP_PROTEIN_LOCALIZATION_TO_CELL_SURFACE,2.275620456,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEIN_LOCALIZATION_TO_CELL_SURFACE
GOBP_GABAERGIC_NEURON_DIFFERENTIATION,2.267629768,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_GABAERGIC_NEURON_DIFFERENTIATION
GOBP_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION,2.267629768,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION
GOBP_MITOCHONDRIAL_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,2.267629768,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MITOCHONDRIAL_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT
GOBP_RESPONSE_TO_FOLLICLE_STIMULATING_HORMONE,2.267629768,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_FOLLICLE_STIMULATING_HORMONE
GOBP_POSITIVE_REGULATION_OF_POST_TRANSCRIPTIONAL_GENE_SILENCING,2.267629768,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_POST_TRANSCRIPTIONAL_GENE_SILENCING
GOBP_CELL_CYCLE_DNA_REPLICATION,2.26136784,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CYCLE_DNA_REPLICATION
GOBP_MIRNA_PROCESSING,2.26136784,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MIRNA_PROCESSING
GOBP_AUTOPHAGOSOME_MATURATION,2.254729655,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_AUTOPHAGOSOME_MATURATION
GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION,2.252157523,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION
GOBP_RENAL_ABSORPTION,2.250710817,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RENAL_ABSORPTION
GOBP_REGULATION_OF_MITOCHONDRIAL_FISSION,2.250710817,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MITOCHONDRIAL_FISSION
GOBP_POSITIVE_REGULATION_OF_VASOCONSTRICTION,2.250710817,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_VASOCONSTRICTION
GOBP_NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT,2.250710817,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT
GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT,2.231244797,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT
